,img_id,title,img_url,description,sex,material,price,brand,colour,Description
0,0,MEN Linen Blended Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/69_425152.jpg,a single layer with a natural feel of natural material simple and easy to coordinate a natural linen cotton blend fabric for breathability and softness relaxed regular fit that goes great with the the natural feeling of linen material there is a drawstring around the waist for easy adjustment features a streamlined knee length,MEN,"68% Cotton, 32% Linen",29.9,UNIQLO,Color: COL69 NAVY,a single layer with a natural feel of natural material simple and easy to coordinate a natural linen cotton blend fabric for breathability and softness relaxed regular fit that goes great with the the natural feeling of linen material there is a drawstring around the waist for easy adjustment features a streamlined knee length
1,1,MEN Easy Shorts (Printed),https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/37_438450.jpg,light and cool shorts are perfect for relaxing convenient pockets for carrying small items pockets have a new shape waist spindle is now on the inside tonal color leaf print,MEN,100% Cotton,19.9,UNIQLO,Color: COL37 BROWN,light and cool shorts are perfect for relaxing convenient pockets for carrying small items pockets have a new shape waist spindle is now on the inside tonal color leaf print
2,2,MEN Chino Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/09_425142.jpg,updated to have a relaxed silhouette has a more casual feeling while still being trendy made with cotton twill that is dense and soft to the touch the updates for this season include a slightly more relaxed silhouette that is perfect for pairing with oversized or fitted tops updated to have more casual stitch work,MEN,100% Cotton,29.9,UNIQLO,Color: COL09 BLACK,updated to have a relaxed silhouette has a more casual feeling while still being trendy made with cotton twill that is dense and soft to the touch the updates for this season include a slightly more relaxed silhouette that is perfect for pairing with oversized or fitted tops updated to have more casual stitch work
3,3,MEN Uniqlo U Wide Fit Easy Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/09_437304.jpg,shorts inspired by military pants trendy loose fitting cut the brand u collection is the realization of a dedicated and skilled team of international designers based at our paris research and development center led by artistic director christophe lemaire used a lightweight cotton twill carefully designed to last long with details inspired by military pants such as slit pockets on the side and patch pockets on the back drawstring and elastic waistband for comfort wide cut silhouette in an above the knee length,MEN,100% Cotton,49.9,UNIQLO,Color: COL09 BLACK,shorts inspired by military pants trendy loose fitting cut the brand u collection is the realization of a dedicated and skilled team of international designers based at our paris research and development center led by artistic director christophe lemaire used a lightweight cotton twill carefully designed to last long with details inspired by military pants such as slit pockets on the side and patch pockets on the back drawstring and elastic waistband for comfort wide cut silhouette in an above the knee length
5,5,MEN Ultra Light Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/32_430936.jpg,kando shorts has been renamed to ultra light shorts incredibly lightweight and comfortable comfortable high performance shorts that are great for any sport unique material that has been jointly developed with toray with quick drying dry technology the full length pants have been replaced with these clean cut kando shorts the waist has been designed to stretch for greater comfort mesh material used for the pocket and waist cloth for better breathability a streamlined above the knee length,MEN,100% Polyester,39.9,UNIQLO,Color: COL32 BEIGE,kando shorts has been renamed to ultra light shorts incredibly lightweight and comfortable comfortable high performance shorts that are great for any sport unique material that has been jointly developed with toray with quick drying dry technology the full length pants have been replaced with these clean cut kando shorts the waist has been designed to stretch for greater comfort mesh material used for the pocket and waist cloth for better breathability a streamlined above the knee length
6,6,MEN Stretch Slim Fit Shorts (Pattern),https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/07_437258.jpg,chic shorts with clean lines and a sleek cut with added stretch compact cotton twill streamlined design for a minimal look above the knee length paired with a slim fit cut belt loops side seams and stitchwork remain invisible from the outside front hook closure,MEN,"98% Cotton, 2% Spandex",29.9,UNIQLO,Color: COL07 GRAY,chic shorts with clean lines and a sleek cut with added stretch compact cotton twill streamlined design for a minimal look above the knee length paired with a slim fit cut belt loops side seams and stitchwork remain invisible from the outside front hook closure
7,7,MEN Stretch Slim Fit Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/30_430939.jpg,short pants in a sleek cut with elegant details made of stretchy compact cotton twill features a slim fit to create a sleek style knee length for a well balanced slim fit hook closure on the front with hidden belt loops side seams and hem stitching the front pocket also features a hand stitched style attention has been paid to the design of the waist lining,MEN,"98% Cotton, 2% Spandex",29.9,UNIQLO,Color: COL30 NATURAL,short pants in a sleek cut with elegant details made of stretchy compact cotton twill features a slim fit to create a sleek style knee length for a well balanced slim fit hook closure on the front with hidden belt loops side seams and hem stitching the front pocket also features a hand stitched style attention has been paid to the design of the waist lining
8,8,MEN Ultra Stretch Active Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/03_435096.jpg,a high performance item approved by athletes stretchy and quick drying and made with convenient details now with dry ex technology the side pockets now come with hidden zippers so your belongings will not fall out ultra stretch fabric with a stretch rate of over 5x horizontally and vertically and a recovery rate of over provides ease of movement as lounge wear one mile wear or active wear versatile design and fit that work as everyday wear or for sports,MEN,"Body: 100% Polyester/ Elastic Part: 51% Nylon, 40% Polyester, 9% Spandex",29.9,UNIQLO,Color: COL03 GRAY,a high performance item approved by athletes stretchy and quick drying and made with convenient details now with dry ex technology the side pockets now come with hidden zippers so your belongings will not fall out ultra stretch fabric with a stretch rate of over 5x horizontally and vertically and a recovery rate of over provides ease of movement as lounge wear one mile wear or active wear versatile design and fit that work as everyday wear or for sports
10,10,MEN Chino Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/00_434850.jpg,casual above the knee chino shorts with a sleek and breezy feel we achieved the unique texture by slightly raising the high density cotton twill and through a special dyeing and washing process comfortable and soft touch double stitched on the sides for a more casual design slightly loose from the thigh down to the them so they pair well with loose fitting tops carefully designed details such as the coin pocket and chambray piping of the back waist features a streamlined knee length,MEN,100% Cotton,29.9,UNIQLO,Color: COL00 WHITE,casual above the knee chino shorts with a sleek and breezy feel we achieved the unique texture by slightly raising the high density cotton twill and through a special dyeing and washing process comfortable and soft touch double stitched on the sides for a more casual design slightly loose from the thigh down to the them so they pair well with loose fitting tops carefully designed details such as the coin pocket and chambray piping of the back waist features a streamlined knee length
11,11,MEN Easy Shorts (Jersey),https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/09_435311.jpg,stylish design can be worn inside and outside the home,MEN,"65% Cotton, 30% Polyester, 5% Spandex",19.9,UNIQLO,Color: COL09 BLACK,stylish design can be worn inside and outside the home
12,12,MEN Stretch Slim Fit Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/00_434851.jpg,stylish shorts they re also great for formal looks with added stretch made of compact cotton twill material a sleek slim fit cut that can also be worn with formal looks designed for clean and classy looks designed with a hook on the front of the waist and with the belt loops side seams and hem stitching hidden from the outside the above the knee length looks good with the slim fit,MEN,"98% Cotton, 2% Spandex",29.9,UNIQLO,Color: COL00 WHITE,stylish shorts they re also great for formal looks with added stretch made of compact cotton twill material a sleek slim fit cut that can also be worn with formal looks designed for clean and classy looks designed with a hook on the front of the waist and with the belt loops side seams and hem stitching hidden from the outside the above the knee length looks good with the slim fit
13,13,MEN DRY-EX Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/03_435099.jpg,incredibly quick drying for a stay fresh feel our high performance shorts featuring dry ex technology added odor control functionality,MEN,100% Polyester,29.9,UNIQLO,Color: COL03 GRAY,incredibly quick drying for a stay fresh feel our high performance shorts featuring dry ex technology added odor control functionality
14,14,MEN Denim Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/63_434855.jpg,authentic vintage looking denim cropped short simple minimal style uses stretch denim fabric sleek slim fitting above the knee cut whiskering reproduced with the latest processing technology developed independently at our jeans innovation center give the jeans a worn vintage feel,MEN,"99% Cotton, 1% Spandex",29.9,UNIQLO,Color: COL63 Blue,authentic vintage looking denim cropped short simple minimal style uses stretch denim fabric sleek slim fitting above the knee cut whiskering reproduced with the latest processing technology developed independently at our jeans innovation center give the jeans a worn vintage feel
15,15,MEN Easy Shorts (Jersey),https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/65_427824.jpg,these relaxed pants are soft and comfortable short and easy to wear dyed for a deep color pattern,MEN,"67% Cotton, 27% Polyester, 6% Spandex",14.9,UNIQLO,Color: COL65 Blue,these relaxed pants are soft and comfortable short and easy to wear dyed for a deep color pattern
16,16,MEN Easy Shorts (Jersey),https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/34_431006.jpg,easy shorts are comfortable and easy to move in an everyday must have simple shorts that pair well with any top,MEN,100% Cotton,19.9,UNIQLO,Color: COL34 BROWN,easy shorts are comfortable and easy to move in an everyday must have simple shorts that pair well with any top
17,17,MEN Easy Shorts (Jersey),https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/03_424151.jpg,these relaxed pants are soft and comfortable short and easy to wear cotton,MEN,"Body: 100% Cotton/ Elastic Part: 95% Polyester, 5% Spandex",14.9,UNIQLO,Color: COL03 GRAY,these relaxed pants are soft and comfortable short and easy to wear cotton
18,18,MEN Dry Stretch Easy Shorts,https://d15udtvdbbfasl.cloudfront.net/catalog/product/large_image/09_431004.jpg,comfortable versatile shorts perfect for wearing at home or out twill jersey fabric that has been pre washed for a stylish lightly faded and worn look,MEN,"67% Cotton, 33% Polyester",19.9,UNIQLO,Color: COL09 BLACK,comfortable versatile shorts perfect for wearing at home or out twill jersey fabric that has been pre washed for a stylish lightly faded and worn look
